"SYDNEY AIRPORT","NSW","2020","SYD1 "
"SYDNEY DOMESTIC AIRPORT","NSW","2020","SYD1 "
"SYDNEY INTERNATIONAL AIRPORT","NSW","2020","SYD1 "
"CENTENNIAL PARK","NSW","2021","SYD1 "
"MOORE PARK","NSW","2021","SYD1 "
"PADDINGTON","NSW","2021","SYD1 "
"SYDNEY SHOWGROUND","NSW","2021","SYD1 "
"VICTORIA BARRACKS","NSW","2021","SYD1 "
"BONDI JUNCTION","NSW","2022","SYD1 "
"BONDI JUNCTION PLAZA","NSW","2022","SYD1 "
"QUEENS PARK","NSW","2022","SYD1 "
"BELLEVUE HILL","NSW","2023","SYD1 "
"BRONTE","NSW","2024","SYD1 "
"CHARING CROSS","NSW","2024","SYD1 "
"WAVERLEY","NSW","2024","SYD1 "
"WOOLLAHRA","NSW","2025","SYD1 "
"BEN BUCKLER","NSW","2026","SYD1 "
"BONDI","NSW","2026","SYD1 "
"BONDI BEACH","NSW","2026","SYD1 "
"NORTH BONDI","NSW","2026","SYD1 "
"TAMARAMA","NSW","2026","SYD1 "
"TAMARAMA BAY","NSW","2026","SYD1 "
"DARLING POINT","NSW","2027","SYD1 "
"EDGECLIFF","NSW","2027","SYD1 "
"HMAS RUSHCUTTERS","NSW","2027","SYD1 "
"POINT PIPER","NSW","2027","SYD1 "
"PT PIPER","NSW","2027","SYD1 "
"DOUBLE BAY","NSW","2028","SYD1 "
"ROSE BAY","NSW","2029","SYD1 "
"CAMP COVE","NSW","2030","SYD1 "
"DIAMOND BAY","NSW","2030","SYD1 "
"DOVER HEIGHTS","NSW","2030","SYD1 "
"HMAS WATSON","NSW","2030","SYD1 "
"NIELSEN PARK","NSW","2030","SYD1 "
"PARSLEY BAY","NSW","2030","SYD1 "
"ROSE BAY NORTH","NSW","2030","SYD1 "
"SOUTH HEAD","NSW","2030","SYD1 "
"VAUCLUSE","NSW","2030","SYD1 "
"WATSONS BAY","NSW","2030","SYD1 "
"CLOVELLY","NSW","2031","SYD1 "
"CLOVELLY WEST","NSW","2031","SYD1 "
"RANDWICK","NSW","2031","SYD1 "
"ST PAULS","NSW","2031","SYD1 "
"DACEYVILLE","NSW","2032","SYD1 "
"KINGSFORD","NSW","2032","SYD1 "
"KENSINGTON","NSW","2033","SYD1 "
"RALEIGH PARK","NSW","2033","SYD1 "
"COOGEE","NSW","2034","SYD1 "
"SOUTH COOGEE","NSW","2034","SYD1 "
"MAROUBRA","NSW","2035","SYD1 "
"MAROUBRA SOUTH","NSW","2035","SYD1 "
"PAGEWOOD","NSW","2035","SYD1 "
"BARE ISLAND","NSW","2036","SYD1 "
"BUNNERONG","NSW","2036","SYD1 "
"CHIFLEY","NSW","2036","SYD1 "
"EASTGARDENS","NSW","2036","SYD1 "
"HILLSDALE","NSW","2036","SYD1 "
"LA PEROUSE","NSW","2036","SYD1 "
"LITTLE BAY","NSW","2036","SYD1 "
"LONG BAY","NSW","2036","SYD1 "
"MALABAR","NSW","2036","SYD1 "
"MATRAVILLE","NSW","2036","SYD1 "
"PHILLIP BAY","NSW","2036","SYD1 "
"PHILLIP HEIGHTS","NSW","2036","SYD1 "
"PORT BOTANY","NSW","2036","SYD1 "
"YARRA JUNCTION","NSW","2036","SYD1 "
"FOREST LODGE","NSW","2037","SYD1 "
"GLEBE","NSW","2037","SYD1 "
"GLEBE POINT","NSW","2037","SYD1 "
"ANNANDALE","NSW","2038","SYD1 "
"CALLAN PARK","NSW","2039","SYD1 "
"GLEBE ISLAND","NSW","2039","SYD1 "
"ROZELLE","NSW","2039","SYD1 "
"LEICHHARDT","NSW","2040","SYD1 "
"LILYFIELD","NSW","2040","SYD1 "
"TAVENERS HILL","NSW","2040","SYD1 "
"BALMAIN","NSW","2041","SYD1 "
